Urgency_Level,Num_Triages,Avg_Wait,Pct_Admitted,Department_Name,Num_Referred
1,214,24.7103,98.1300,Αιματολογία,12
1,214,24.7103,98.1300,Γαστρεντερολογία,22
1,214,24.7103,98.1300,Επείγοντα,5
1,214,24.7103,98.1300,Καρδιολογία,18
1,214,24.7103,98.1300,ΜΕΘ,8
1,214,24.7103,98.1300,Νευρολογία,16
1,214,24.7103,98.1300,Νεφρολογία,10
1,214,24.7103,98.1300,Ογκολογία,14
1,214,24.7103,98.1300,Ορθοπεδική,13
1,214,24.7103,98.1300,Ουρολογία,19
1,214,24.7103,98.1300,Οφθαλμολογία,9
1,214,24.7103,98.1300,Παθολογία,19
1,214,24.7103,98.1300,Πνευμονολογία,14
1,214,24.7103,98.1300,Χειρουργική,15
1,214,24.7103,98.1300,ΩΡΛ,16
2,192,46.2031,90.6300,Αιματολογία,12
2,192,46.2031,90.6300,Γαστρεντερολογία,16
2,192,46.2031,90.6300,Επείγοντα,5
2,192,46.2031,90.6300,Καρδιολογία,10
2,192,46.2031,90.6300,ΜΕΘ,9
2,192,46.2031,90.6300,Νευρολογία,11
2,192,46.2031,90.6300,Νεφρολογία,12
2,192,46.2031,90.6300,Ογκολογία,18
2,192,46.2031,90.6300,Ορθοπεδική,13
2,192,46.2031,90.6300,Ουρολογία,18
2,192,46.2031,90.6300,Οφθαλμολογία,17
2,192,46.2031,90.6300,Παθολογία,12
2,192,46.2031,90.6300,Πνευμονολογία,6
2,192,46.2031,90.6300,Χειρουργική,9
2,192,46.2031,90.6300,ΩΡΛ,6
3,243,81.8642,86.8300,Αιματολογία,11
3,243,81.8642,86.8300,Γαστρεντερολογία,11
3,243,81.8642,86.8300,Επείγοντα,17
3,243,81.8642,86.8300,Καρδιολογία,16
3,243,81.8642,86.8300,ΜΕΘ,19
3,243,81.8642,86.8300,Νευρολογία,15
3,243,81.8642,86.8300,Νεφρολογία,7
3,243,81.8642,86.8300,Ογκολογία,17
3,243,81.8642,86.8300,Ορθοπεδική,13
3,243,81.8642,86.8300,Ουρολογία,10
3,243,81.8642,86.8300,Οφθαλμολογία,10
3,243,81.8642,86.8300,Παθολογία,21
3,243,81.8642,86.8300,Πνευμονολογία,19
3,243,81.8642,86.8300,Χειρουργική,11
3,243,81.8642,86.8300,ΩΡΛ,14
4,234,126.4359,80.7700,Αιματολογία,15
4,234,126.4359,80.7700,Γαστρεντερολογία,13
4,234,126.4359,80.7700,Επείγοντα,16
4,234,126.4359,80.7700,Καρδιολογία,17
4,234,126.4359,80.7700,ΜΕΘ,16
4,234,126.4359,80.7700,Νευρολογία,15
4,234,126.4359,80.7700,Νεφρολογία,11
4,234,126.4359,80.7700,Ογκολογία,15
4,234,126.4359,80.7700,Ορθοπεδική,11
4,234,126.4359,80.7700,Ουρολογία,9
4,234,126.4359,80.7700,Οφθαλμολογία,11
4,234,126.4359,80.7700,Παθολογία,12
4,234,126.4359,80.7700,Πνευμονολογία,10
4,234,126.4359,80.7700,Χειρουργική,9
4,234,126.4359,80.7700,ΩΡΛ,9
5,267,186.4644,80.9000,Αιματολογία,16
5,267,186.4644,80.9000,Γαστρεντερολογία,16
5,267,186.4644,80.9000,Επείγοντα,13
5,267,186.4644,80.9000,Καρδιολογία,12
5,267,186.4644,80.9000,ΜΕΘ,8
5,267,186.4644,80.9000,Νευρολογία,18
5,267,186.4644,80.9000,Νεφρολογία,17
5,267,186.4644,80.9000,Ογκολογία,14
5,267,186.4644,80.9000,Ορθοπεδική,16
5,267,186.4644,80.9000,Ουρολογία,16
5,267,186.4644,80.9000,Οφθαλμολογία,13
5,267,186.4644,80.9000,Παθολογία,15
5,267,186.4644,80.9000,Πνευμονολογία,17
5,267,186.4644,80.9000,Χειρουργική,11
5,267,186.4644,80.9000,ΩΡΛ,14
